lead_id,name,email,phone,source,created_at,status
1,Lead 1,lead1@example.com,01246913810,Website,2026-06-13 03:01:00,contacted
2,Lead 2,lead2@example.com,01283197857,Facebook,2026-02-05 23:06:00,lost
3,Lead 3,lead3@example.com,01041227216,Email Campaign,2026-01-09 00:05:00,new
4,Lead 4,lead4@example.com,01283140807,Referral,2026-05-24 06:45:00,contacted
5,Lead 5,lead5@example.com,01031429110,Conference,2026-04-25 18:17:00,lost
6,Lead 6,lead6@example.com,01055176955,Facebook,2026-03-29 08:09:00,new
7,Lead 7,lead7@example.com,01191030736,LinkedIn,2026-04-08 03:22:00,new
8,Lead 8,lead8@example.com,01120576383,Email Campaign,2026-04-28 17:07:00,qualified
9,Lead 9,lead9@example.com,01187490893,Website,2026-06-10 19:56:00,new
10,Lead 10,lead10@example.com,01120709497,Website,2026-01-12 21:14:00,new
11,Lead 11,lead11@example.com,01258966946,Website,2026-04-08 08:29:00,qualified
12,Lead 12,lead12@example.com,01196977837,Facebook,2026-04-01 06:42:00,contacted
13,Lead 13,lead13@example.com,01072043515,Referral,2026-05-17 23:15:00,qualified
14,Lead 14,lead14@example.com,01053524491,Facebook,2026-06-13 22:35:00,contacted
15,Lead 15,lead15@example.com,01118883684,Website,2026-01-09 10:25:00,qualified
16,Lead 16,lead16@example.com,01196282117,Referral,2026-02-24 20:31:00,contacted
17,Lead 17,lead17@example.com,01285345555,Email Campaign,2026-03-09 04:15:00,qualified
18,Lead 18,lead18@example.com,01263606628,LinkedIn,2026-05-30 13:57:00,contacted
19,Lead 19,lead19@example.com,01016323852,Facebook,2026-02-05 16:31:00,contacted
20,Lead 20,lead20@example.com,01266661351,Email Campaign,2026-06-10 05:50:00,new
21,Lead 21,lead21@example.com,01181016525,LinkedIn,2026-04-09 12:38:00,new
22,Lead 22,lead22@example.com,01282070937,LinkedIn,2026-06-24 23:07:00,qualified
23,Lead 23,lead23@example.com,01070897765,Facebook,2026-01-29 09:27:00,qualified
24,Lead 24,,01093926371,LinkedIn,2026-05-09 05:32:00,contacted
25,Lead 25,lead25@example.com,01082394227,Email Campaign,2026-02-09 11:48:00,new
26,Lead 26,lead26@example.com,01025014631,LinkedIn,2026-06-03 10:31:00,qualified
27,Lead 27,lead27@example.com,01220570592,Facebook,2026-03-03 01:15:00,lost
28,Lead 28,lead28@example.com,01027232410,Conference,2026-01-18 17:49:00,lost
29,Lead 29,lead29@example.com,01291415657,Referral,2026-05-21 05:16:00,contacted
30,Lead 30,lead30@example.com,01051837852,Referral,2026-05-19 23:44:00,qualified
31,Lead 31,lead31@example.com,01043273328,Website,2026-04-23 16:28:00,new
32,Lead 32,lead32@example.com,01240885476,Email Campaign,2026-03-28 00:37:00,contacted
33,Lead 33,lead33@example.com,01217901903,Website,2026-01-02 02:45:00,new
34,Lead 34,lead34@example.com,01241944441,LinkedIn,2026-01-09 10:04:00,lost
35,Lead 35,lead35@example.com,01286644106,Email Campaign,2026-02-24 17:08:00,lost
36,Lead 36,lead36@example.com,01135556386,Facebook,2026-03-04 15:51:00,new
37,Lead 37,lead37@example.com,01165177213,Referral,2026-06-18 13:22:00,new
38,Lead 38,lead38@example.com,01018135295,Referral,2026-06-22 20:41:00,qualified
39,Lead 39,lead39@example.com,01081979055,Referral,2026-01-28 07:12:00,contacted
